Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,EBIDT last year,High price all time,DMA 200,Down from 52w high,Debt,Promoter holding,Profit after tax latest quarter,YOY Quarterly profit growth,Profit after tax preceding year quarter,Profit after tax preceding quarter,QoQ Profits,Expected quarterly net profit,Net profit 2quarters back,Net profit 3quarters back,Pledged percentage,Price to Earning,Expected quarterly sales,Expected quarterly sales growth,Sales,Sales growth,YOY Quarterly sales growth,Net Profit latest quarter,Profit after tax,Return on capital employed,Return on equity,Profit growth,NPM latest quarter,Mkt Cap To Debt Cap,Cash from operations last year,Cash from operations preceding year,DMA 200 previous day,Expected quarterly operating profit,Expected quarterly EPS,RSI,Cash end of preceding year,CROIC,Cash end of last year,Reserves,Investments,Current assets,EVEBITDA,Price to book value,Sales latest quarter,Number of Shareholders,Number of Shareholders preceding quarter,Number of Shareholders 1year back,FII holding,DII holding,Public holding,Cash Equivalents
20 Microns,533022,20MICRONS,INE144J01027,Minerals & Mining,Industrial Minerals,223.63,789.11,128.01,348.00,192.82,6.18,156.00,45.04,17.78,5.33,16.88,17.72,0.85,22.46,14.87,17.36,0.00,11.60,240.07,4.03,951.38,2.36,-0.99,17.74,68.03,17.31,14.54,9.01,7.25,1.09,103.59,31.79,192.51,31.72,6.36,72.69,38.25,3.74,81.89,465.98,18.75,416.96,6.66,1.63,244.72,39233.00,38301.00,36781.00,0.41,0.07,54.49,81.89
360 ONE,542772,360ONE,INE466L01038,Capital Markets,Stockbroking & Allied,1197.20,48793.62,2822.12,1318.00,1105.99,3.15,15931.31,6.20,330.53,16.11,284.67,288.74,14.47,535.81,327.28,315.48,0.00,38.66,1511.19,37.62,4621.10,36.82,34.52,330.53,1262.03,12.12,14.39,19.48,26.96,-3.12,-2921.06,-2462.17,1105.07,945.11,13.15,58.68,1091.58,-9.24,1481.59,9794.94,8842.44,3261.14,21.03,4.94,1226.09,76687.00,74294.00,68603.00,58.55,18.70,16.53,1481.59
3B Blackbio,532067,3BBLACKBIO,INE994E01018,Healthcare Services,Healthcare Service Provider,1306.30,1121.15,82.34,2350.00,1308.60,25.35,3.11,40.95,9.53,-24.31,12.59,9.56,-8.46,16.28,22.44,15.04,0.00,20.19,55.01,62.28,153.17,54.30,50.65,8.98,55.53,25.48,19.77,13.23,26.81,2.49,52.48,43.36,1308.63,18.83,18.97,63.22,68.83,10.55,100.62,315.81,157.70,192.66,12.66,3.46,33.49,11049.00,10616.00,10619.00,2.50,2.15,54.40,100.62
3M India,523395,3MINDIA,INE470A01017,Diversified,Diversified,33570.00,37833.39,1033.73,41000.00,33472.48,12.35,169.75,75.00,176.95,-0.42,177.69,185.37,8.23,250.13,-62.05,191.34,0.00,85.81,1478.10,16.71,5316.99,15.71,19.00,233.07,440.89,50.01,29.98,-11.22,12.43,6.67,513.72,355.11,33471.50,273.40,222.04,37.18,937.38,23.51,817.78,1756.88,0.00,2542.38,36.19,21.39,1423.21,30673.00,29808.00,34588.00,3.50,8.16,13.33,817.78
5paisa Capital,540776,5PAISA,INE618L01018,Capital Markets,Stockbroking & Allied,376.40,1764.65,101.07,765.54,349.12,9.73,378.56,36.50,11.57,0.17,11.55,10.86,6.54,14.50,12.30,9.48,0.00,39.92,83.56,8.29,330.20,-1.44,13.70,11.57,44.21,9.94,7.04,-25.95,13.10,-3.31,-103.71,97.94,348.85,25.25,3.09,50.55,1336.61,-4.70,1417.71,617.97,2.18,1539.54,7.12,2.72,88.33,50145.00,52243.00,56884.00,15.11,0.00,48.38,1417.71
63 Moons Tech.,526881,63MOONS,INE111B01023,IT - Software,Computers - Software & Consulting,777.55,3582.84,-98.81,3048.00,717.76,22.84,2.85,45.63,-39.68,-203.60,-13.07,-54.65,-289.18,,-31.73,-44.70,0.00,,,541.89,318.30,384.84,350.44,-47.56,-143.00,-3.71,-1.60,-76.91,-34.67,-3.41,-292.97,-142.78,717.16,,,47.97,1925.25,-4.21,1676.78,3542.62,583.27,2322.90,-13.17,1.01,137.16,44996.00,45869.00,46045.00,1.61,0.00,52.75,1676.78
A B B,500002,ABB,INE117A01022,Electrical Equipment,Heavy Electrical Equipment,7609.00,161241.08,2397.26,9200.00,6603.38,3.98,144.52,75.00,370.07,8.03,342.55,341.91,-79.69,469.04,432.85,409.04,0.00,104.62,3712.31,12.13,13476.81,10.22,21.03,362.30,1541.25,29.93,22.39,-13.03,10.40,12.18,1219.52,1331.80,6593.28,516.29,22.14,55.99,5507.82,14.47,5834.87,9297.10,1.56,13764.99,68.90,17.26,3558.87,183577.00,181528.00,182397.00,7.67,9.89,7.44,7335.52
A B Infrabuild,544281,ABINFRA,INE00YB01025,Construction,Civil Construction,11.95,763.35,41.41,23.56,13.84,49.28,88.25,30.94,5.34,3.09,5.18,5.94,-10.55,2.06,6.12,2.13,0.00,39.13,42.96,15.17,271.89,6.80,25.91,5.34,19.51,16.06,13.84,-8.15,7.00,-5.74,-51.17,-23.59,13.86,6.16,0.03,55.73,33.47,-17.71,32.01,105.41,0.00,277.89,19.14,4.51,76.25,16192.00,11173.00,3068.00,0.00,0.01,69.02,32.01
A B Lifestyle,544403,ABLBL,INE14LE01019,Retailing,Speciality Retail,86.04,10501.37,1444.28,176.10,107.39,43.14,3018.10,46.60,29.02,20.62,24.06,60.50,-46.77,52.66,69.01,23.44,0.00,49.19,2248.61,10.34,8600.97,9.07,11.15,29.02,213.47,15.02,14.87,31.53,1.42,,1218.81,1144.17,107.60,352.99,0.43,30.93,53.65,,91.51,191.66,16.34,4565.34,9.14,7.44,2045.74,262354.00,266973.00,297575.00,12.70,20.80,19.42,91.51
A B Real Estate,500040,ABREL,INE055A01016,Realty,"Residential, Commercial Projects",1392.30,15551.39,-340.56,3141.95,1462.61,29.49,5636.49,50.21,-70.92,-59.41,-44.49,-102.21,-741.74,-110.55,-75.31,-17.82,0.00,,87.69,-10.38,450.47,-55.45,29.74,-34.59,-319.61,-4.48,-2.64,-249.75,-35.46,-9.69,747.23,-1293.44,1463.32,-68.87,-9.90,48.30,1000.62,-4.55,1398.76,3589.13,1511.65,13627.49,-60.03,4.20,188.85,95594.00,96982.00,105295.00,9.26,16.63,23.14,1398.76
A C J K Exports,544743,AEROPLANE,INE05TO01019,Agricultural Food & other Products,Other Agricultural Products,174.99,1812.05,229.75,210.00,166.09,16.67,758.09,78.78,36.63,127.52,16.10,19.96,83.52,,34.69,32.56,0.00,14.63,,,2522.92,14.51,55.10,36.63,123.84,15.70,15.85,72.25,5.52,9.84,-166.37,94.96,166.00,,,44.16,19.55,-1.94,256.19,820.58,0.77,2028.13,9.32,,663.73,43063.00,106988.00,,1.89,5.44,12.98,256.19
A.K.Capital Serv,530499,AKCAPIT,INE701G01012,Finance,Non Banking Financial Company (NBFC),1717.60,1133.62,400.66,1950.00,1572.86,11.92,3089.18,72.24,27.19,17.71,23.10,32.10,-14.88,58.84,26.03,30.91,0.00,9.90,172.46,11.92,577.13,15.22,3.92,28.26,114.45,9.33,10.95,34.44,20.23,-1.16,-257.66,-261.16,1571.41,120.79,85.77,45.73,32.17,-2.59,63.27,1039.81,3182.91,142.48,10.21,1.08,139.72,2825.00,2946.00,2619.00,0.00,0.11,27.65,63.27
Aadhar Hsg. Fin.,544176,AADHARHFC,INE883F01010,Finance,Housing Finance Company,470.35,20588.98,2818.86,563.00,487.03,16.46,18743.78,64.66,282.36,19.00,237.28,310.92,-9.19,420.21,281.21,266.47,0.00,17.85,1055.67,17.67,3817.29,17.72,17.06,282.36,1153.40,11.38,15.94,21.54,28.44,-0.79,-2807.88,-3026.65,487.20,803.04,9.60,37.32,1723.38,-11.48,1214.68,7105.19,637.46,1784.06,13.04,2.72,992.89,162826.00,184772.00,202739.00,5.80,9.92,19.61,1214.68
Aarti Drugs,524348,AARTIDRUGS,INE767A01016,Pharmaceuticals & Biotechnology,Pharmaceuticals,418.00,3815.09,311.58,1026.95,401.90,21.80,576.64,54.43,51.68,-4.14,53.91,55.19,-9.28,65.67,40.55,45.16,2.50,19.80,732.18,12.16,2677.58,10.54,19.01,50.13,192.69,11.90,13.36,2.04,7.35,1.44,253.54,244.58,401.74,94.36,7.19,52.81,7.56,4.55,8.81,1457.59,27.31,1467.77,13.04,2.46,702.78,143476.00,144946.00,160260.00,1.52,10.29,33.76,8.81
Aarti Industries,524208,AARTIIND,INE769A01020,Chemicals & Petrochemicals,Specialty Chemicals,542.95,19694.25,1172.00,1060.84,458.13,1.59,4966.00,41.82,153.28,256.47,43.00,137.00,13.14,160.25,133.00,106.00,3.49,37.71,2717.30,29.40,9010.00,26.99,42.51,155.00,522.28,6.85,7.13,122.25,6.42,1.56,775.00,1241.94,457.28,403.84,4.42,66.01,294.97,-1.90,609.00,5774.00,132.00,4187.00,17.94,3.31,2387.00,370868.00,384210.00,425399.00,7.00,21.11,30.08,609.00
Aarti Pharma,543748,AARTIPHARM,INE0LRU01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,836.65,7586.73,386.95,971.50,730.53,11.60,754.36,42.86,76.14,53.82,49.50,61.12,24.57,59.83,47.96,27.92,11.08,35.24,473.54,13.20,1969.04,1.20,38.74,76.14,215.27,10.70,8.59,-19.21,14.21,2.99,261.93,331.56,729.47,102.06,6.60,61.16,8.65,-3.55,9.62,2079.28,193.85,1397.29,18.45,3.57,535.80,176506.00,179373.00,187039.00,8.17,7.22,41.74,9.62
AAVAS Financiers,541988,AAVAS,INE216P01012,Finance,Housing Finance Company,1285.80,10195.66,1978.39,3340.00,1433.64,27.56,15685.57,48.88,171.27,23.01,139.23,181.67,-5.72,252.69,170.05,163.93,0.00,14.84,753.54,12.97,2764.62,13.32,12.93,171.27,686.92,9.92,13.92,16.97,24.17,-0.50,-1386.42,-1660.13,1435.13,557.76,31.87,30.44,1559.63,-8.78,1843.30,4971.56,270.81,2368.93,11.77,2.02,708.72,113498.00,117980.00,121862.00,16.28,22.15,12.69,1843.30
Aayush Art,540718,,INE777X01017,Textiles & Apparels,Other Textile Products,1275.75,1953.45,10.77,1275.75,1119.00,0.00,0.00,24.63,7.53,382.69,1.56,0.37,1935.14,,,,0.00,247.59,,,216.35,193.28,257.34,7.53,7.89,18.86,13.88,335.91,4.47,-20.83,-0.07,-40.43,1117.43,,,88.88,0.77,-23.68,0.68,45.47,0.00,125.12,181.32,32.14,168.63,299.00,249.00,177.00,0.00,0.00,75.38,0.68
Abans Financial,543712,AFSL,INE00ZE01026,Finance,Holding Company,201.00,1021.88,163.94,625.00,206.48,16.60,753.73,71.11,61.95,106.84,29.95,-3.87,1884.55,,34.31,41.85,0.00,7.96,,527.96,25747.33,427.79,96.05,65.85,128.33,7.90,8.29,17.06,1.77,0.66,505.18,-118.76,206.54,,,45.67,318.54,6.71,608.10,1239.85,1314.09,1544.42,5.54,0.81,3712.76,14110.00,14635.00,16215.00,20.71,0.00,8.18,608.10
Abbott India,500488,ABBOTINDIA,INE358A01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,26555.00,56429.38,2176.08,37000.00,27517.75,18.98,171.99,74.99,428.52,17.13,365.86,394.93,8.51,500.45,375.96,415.27,0.00,34.95,1858.87,5.79,7004.38,6.29,4.33,428.52,1614.68,44.80,34.35,11.18,23.63,4.19,1319.24,1011.84,27527.43,527.86,235.51,40.83,1626.20,24.40,2254.95,4752.94,0.00,3770.69,24.05,11.82,1813.68,78320.00,75866.00,67584.00,0.38,8.77,15.85,2254.95
ABS Marine,,ABSMARINE,INE0QRV01016,Transport Services,Shipping,286.40,703.11,152.55,425.00,215.94,9.22,377.23,63.96,49.01,154.86,19.23,30.99,57.87,,,,0.00,8.79,,,319.13,77.44,83.46,49.46,80.00,20.98,29.55,195.64,27.01,1.16,167.62,44.89,215.23,,,79.86,121.98,-15.30,48.34,286.53,13.21,168.20,6.76,2.26,183.09,4239.00,4266.00,3939.00,0.15,0.43,35.45,48.34
ACC,500410,ACC,INE012A01025,Cement & Cement Products,Cement & Cement Products,1331.70,25007.63,3366.76,2844.00,1501.56,32.98,428.61,56.69,163.92,-56.33,375.38,239.29,-38.31,379.29,404.25,1119.26,0.00,13.16,6517.50,8.54,25441.73,11.55,-4.59,147.00,1899.74,11.25,10.86,-18.63,2.82,2.02,-1364.01,1711.48,1503.26,695.92,20.20,48.99,1649.27,-1.65,557.73,20362.55,54.95,11372.89,8.23,1.22,5808.00,238540.00,235988.00,219069.00,5.83,21.12,16.19,557.73
Accelya Solution,532268,ACCELYA,INE793A01012,IT - Software,Computers - Software & Consulting,1131.80,1689.35,193.81,2128.25,1204.67,25.88,15.70,74.66,30.45,-10.31,33.95,21.38,42.42,33.90,13.94,29.61,0.00,16.27,135.10,-0.81,532.27,0.67,-3.52,30.45,103.81,49.42,39.33,-18.54,23.95,1.04,99.16,144.56,1205.40,46.33,22.71,46.27,79.03,38.50,50.24,235.22,25.95,266.86,8.54,6.75,127.12,39421.00,39644.00,35927.00,0.11,0.01,25.22,50.24
Accent Microcell,,ACCENTMIC,INE0Q5D01013,Pharmaceuticals & Biotechnology,Pharmaceuticals,593.75,1424.35,63.46,621.00,424.82,4.39,0.87,53.02,25.79,55.36,16.60,18.07,42.72,,,,0.00,32.47,,,349.03,31.92,51.34,25.79,43.86,24.88,18.65,32.67,12.30,7.39,18.64,24.67,423.12,,,69.00,51.02,-11.65,20.10,251.50,0.00,154.94,22.14,5.17,209.67,3178.00,3054.00,2982.00,0.91,3.54,42.53,20.10
ACME Solar Hold.,544283,ACMESOLAR,INE622W01025,Power,Power Generation,395.95,27988.69,2265.04,411.50,309.88,3.78,19896.29,71.40,235.33,64.83,142.77,134.46,70.15,106.30,113.70,115.06,0.00,47.01,705.93,50.92,2369.90,47.52,67.81,235.33,595.44,8.89,10.38,45.44,27.44,1.74,1248.59,1543.02,309.01,609.25,1.50,60.02,2916.03,-11.80,6158.09,4940.40,275.00,6985.74,16.27,4.74,857.50,143209.00,164635.00,197223.00,4.39,19.10,4.92,6158.09
Action Const.Eq.,532762,ACE,INE731H01025,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,1159.00,13801.74,614.01,1695.00,993.87,3.09,7.90,65.42,119.49,22.28,97.72,110.91,7.74,108.97,116.41,90.06,0.00,31.59,813.81,9.35,3414.04,5.21,20.49,119.49,436.86,31.70,22.90,3.34,15.21,3.37,417.27,411.98,992.21,122.96,9.15,60.42,55.47,14.70,77.20,1987.17,1283.46,1624.29,21.37,6.86,785.68,183575.00,181542.00,171647.00,7.82,2.59,24.12,77.20
Acutaas Chemical,543349,ACUTAAS,INE00FF01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,3257.80,26671.97,521.98,3740.00,2607.38,12.89,35.60,32.66,74.26,67.67,44.29,131.76,-44.15,141.80,106.22,71.86,0.00,69.06,447.67,46.20,1461.80,40.90,59.08,74.99,386.22,31.56,24.05,104.30,22.75,18.10,292.17,118.34,2600.84,155.01,17.15,49.36,248.93,-5.79,224.83,1612.63,0.20,881.27,46.46,16.13,329.67,125569.00,112939.00,119890.00,21.61,19.55,26.16,224.83
Adani Energy Sol,539254,ADANIENSOL,INE931S01010,Power,Power Distribution,1570.50,192065.00,8670.33,4238.55,1308.25,12.21,49176.43,73.39,1149.06,124.22,512.48,683.78,71.11,792.88,574.06,557.10,0.00,65.80,8441.66,27.98,30479.83,20.91,42.41,1236.56,2919.12,9.65,9.44,21.81,12.73,2.26,10996.68,9044.51,1305.61,2536.16,6.02,44.33,3618.68,-1.52,3947.34,24226.26,2643.61,15589.44,24.00,7.42,9711.08,376377.00,403625.00,500926.00,10.31,13.05,3.26,3947.34
Adani Enterp.,512599,ADANIENT,INE423A01024,Metals & Minerals Trading,Trading - Minerals,3112.00,421187.29,16111.93,4062.14,2647.24,4.10,106621.79,71.97,568.16,-35.82,885.23,-104.93,-776.28,-15.86,5726.57,3414.43,0.79,177.42,27518.81,29.51,111431.39,18.06,49.92,-1461.54,2373.98,5.80,-3.38,-36.42,2.17,4.65,2356.91,4513.10,2642.56,4079.39,-0.09,61.15,6962.46,-13.17,11809.42,80796.71,9428.37,58452.04,28.17,4.97,32923.98,588595.00,664882.00,621739.00,10.51,10.75,6.78,11809.42
Adani Green,541450,ADANIGREEN,INE364U01010,Power,Power Generation,1303.20,214660.00,12093.00,3050.00,1240.83,20.12,103545.00,62.43,846.34,16.89,724.08,468.79,91.25,41.53,5.00,644.00,0.00,110.71,3423.22,13.80,13559.00,10.98,16.61,983.00,1938.87,7.39,11.40,4.37,22.22,2.35,10135.00,8364.00,1240.20,2983.80,0.22,37.58,3332.00,-11.37,2766.00,18318.00,2983.00,9834.00,24.98,10.75,4431.00,799143.00,930970.00,989821.00,11.84,4.82,20.90,2766.00
Adani Ports,532921,ADANIPORTS,INE742F01042,Transport Infrastructure,Port & Port services,1691.50,389714.68,25205.01,1891.80,1620.49,10.59,63565.52,66.03,3620.40,9.23,3314.59,3381.29,10.31,3510.47,3042.93,3120.20,0.00,29.33,11241.10,22.62,40430.43,23.85,18.57,3649.50,13287.46,14.12,16.38,16.78,33.73,2.08,20356.25,17226.28,1619.78,6516.91,15.12,44.58,6605.97,5.24,8483.51,95497.98,5448.65,20720.18,16.86,4.06,10820.80,1072323.00,1095768.00,1185335.00,15.58,13.60,4.79,8483.51
Adani Power,533096,ADANIPOWER,INE814H01029,Power,Integrated Power Utilities,207.20,399578.87,23359.36,254.20,186.75,18.49,54670.29,74.96,4805.69,41.98,3384.86,4017.08,13.93,3809.84,2488.09,2906.46,1.81,28.03,15478.97,15.03,59033.26,6.64,33.97,4866.60,14255.13,17.22,21.07,14.86,25.75,2.14,20513.65,21501.11,186.54,5964.91,1.95,45.96,6119.88,5.71,6926.32,61079.94,1515.99,27196.73,17.36,6.15,18901.89,2116256.00,2087011.00,1814142.00,11.76,4.07,9.20,6926.32
Adani Total Gas,542066,ATGL,INE399L01023,Gas,LPG/CNG/PNG/LNG Supplier,643.70,70794.78,1220.64,4000.00,640.85,25.14,2251.76,74.80,133.03,-17.97,162.17,155.84,-14.64,212.28,157.19,161.68,0.00,116.49,1748.21,21.07,6235.29,19.58,27.10,133.03,607.74,15.09,14.06,-4.01,7.63,6.05,1150.00,980.33,640.82,320.17,1.93,39.64,459.82,3.15,502.99,4714.03,1927.53,1112.51,60.17,14.68,1743.48,596758.00,636149.00,632842.00,12.77,6.34,6.07,502.99
ADC India,523411,,INE833A01016,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,2426.00,1115.96,24.94,2678.35,1898.09,9.42,0.00,72.02,8.58,72.64,4.97,3.51,144.44,7.33,6.13,4.31,0.00,49.53,59.54,30.14,218.37,18.96,40.59,8.58,22.53,31.44,24.17,0.27,13.53,7.14,13.41,25.93,1892.78,7.45,15.92,58.15,59.37,25.01,61.34,82.09,0.00,125.33,35.32,12.87,63.42,7668.00,7748.00,8871.00,0.09,0.00,27.88,61.34
ADF Foods,519183,ADFFOODS,INE982B01027,Food Products,Packaged Foods,280.70,3083.87,149.75,353.95,253.71,19.09,55.07,36.14,17.29,13.45,15.24,25.91,-33.27,32.00,22.38,26.39,0.00,31.87,201.10,23.67,717.64,19.44,25.90,17.29,96.77,21.82,17.66,38.03,10.34,4.94,57.59,37.42,253.44,39.21,2.91,53.83,66.01,1.48,72.39,549.58,14.52,426.80,19.79,5.39,167.29,39264.00,40319.00,41436.00,11.59,21.30,30.99,72.39
Adit.Birla Money,532974,BIRLAMONEY,INE865C01022,Capital Markets,Stockbroking & Allied,128.15,724.17,231.91,303.72,140.47,35.08,2205.61,73.53,11.13,-27.63,15.38,18.73,-40.58,11.30,14.22,10.15,0.00,12.79,124.79,17.16,486.66,9.29,16.02,11.13,56.64,9.91,22.66,-22.63,8.51,-0.23,-317.26,-126.20,140.59,58.23,2.00,38.67,993.23,-13.64,1165.86,294.60,818.35,1559.62,7.40,2.41,130.77,42163.00,42166.00,43006.00,0.08,0.00,26.40,1165.86
Aditya AMC,543374,ABSLAMC,INE404A01024,Capital Markets,Asset Management Company,1033.50,29905.20,1319.11,1224.90,969.79,15.63,63.73,74.72,309.49,11.68,277.11,187.11,65.41,272.02,269.52,241.32,0.00,29.62,488.13,5.81,1860.59,6.59,3.48,309.49,1009.56,32.23,25.15,3.86,66.85,3.73,811.93,708.48,969.15,286.43,9.40,51.15,103.41,17.71,139.02,3897.26,3946.15,348.20,22.01,7.39,462.96,236462.00,244638.00,271241.00,4.41,14.26,6.58,139.02
Aditya Bir. Fas.,535755,ABFRL,INE647O01011,Retailing,Speciality Retail,54.52,6654.22,883.23,129.13,65.74,42.58,6189.11,46.61,-215.24,-1.54,-211.98,-138.77,-51.84,-369.91,-137.30,-295.09,0.00,,2212.29,11.64,8371.01,11.44,10.60,-248.73,-746.75,-3.76,-13.63,-10.31,-12.28,0.56,160.75,1681.33,65.85,132.39,-2.62,36.85,773.06,3.83,480.51,4618.52,1240.33,4836.40,12.82,1.14,2025.56,368478.00,369727.00,393518.00,12.87,5.69,34.52,480.51
Aditya Birla Cap,540691,ABCAPITAL,INE674K01013,Finance,Investment Company,410.00,112232.18,17253.78,430.70,354.54,4.81,179537.75,68.81,1174.70,40.07,838.63,1001.55,16.93,1485.76,965.85,882.47,0.00,27.88,12709.81,19.96,48185.84,16.33,28.17,1223.85,4024.83,8.72,12.04,18.14,10.05,-0.38,-36544.12,-27934.63,353.98,4848.43,5.21,53.82,6003.28,-15.40,4729.98,31803.50,125116.15,12407.64,15.72,3.12,12179.54,513052.00,522128.00,560382.00,7.94,13.36,9.77,4729.98
Aditya Infotech,544466,CPPLUS,INE819V01029,Industrial Manufacturing,Industrial Products,3530.30,41763.60,578.78,4094.50,2551.35,13.78,256.34,74.71,142.20,332.48,32.88,169.13,-15.92,179.87,95.98,69.98,0.00,87.50,1493.39,62.39,4883.20,51.85,89.51,142.20,477.29,28.56,25.41,214.81,10.14,-413.19,13.47,27.21,2541.51,204.06,15.20,51.11,181.87,-5.56,199.59,1865.08,0.73,3032.14,57.94,22.16,1402.42,58182.00,36773.00,,6.35,13.61,5.34,199.59
Aditya Vision,540205,AVL,INE679V01027,Retailing,Speciality Retail,585.60,7562.32,239.03,705.00,549.84,16.94,572.80,47.14,77.22,39.99,55.16,21.73,255.36,30.01,27.31,12.72,0.00,53.97,581.21,27.04,2924.07,26.52,26.85,77.22,140.12,17.08,18.71,30.26,6.47,39.21,74.95,-40.82,549.48,51.07,2.32,38.20,121.35,-2.23,128.65,675.51,0.00,1079.23,29.33,10.99,1192.68,33586.00,33945.00,29458.00,15.05,21.67,16.13,128.65
Ador Welding,517041,ADOR,INE045A01017,Industrial Products,Other Industrial Products,1531.20,2664.72,142.51,1770.00,1195.89,10.03,2.95,53.76,27.35,890.46,-3.46,35.32,-18.43,33.81,27.10,25.62,0.00,22.25,313.08,11.81,1193.54,8.58,23.19,27.35,119.74,22.71,16.42,106.13,8.86,3.02,116.73,139.14,1192.52,39.85,19.43,52.37,66.88,12.94,92.39,546.47,47.32,508.75,14.11,4.73,308.63,35275.00,35567.00,38889.00,1.05,10.47,34.72,92.39
Advait Energy,543230,ADVAIT,INE0ALI01010,Electrical Equipment,Other Electrical Equipment,2147.70,2350.23,96.51,2485.70,1957.03,13.60,95.25,66.76,13.89,65.95,8.37,17.67,-22.43,26.68,17.39,10.17,0.00,40.70,263.82,68.18,775.37,69.89,51.37,14.80,57.75,27.91,21.53,70.61,8.26,18.16,-9.68,46.47,1955.12,32.53,22.88,48.80,96.06,-10.53,115.91,267.18,24.10,442.11,21.87,8.45,179.27,33709.00,33066.00,29389.00,0.68,0.04,32.51,115.91
Advance Agrolife,544562,ADVANCE,INE1B0W01010,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,122.58,788.01,67.66,154.00,113.45,20.40,97.90,69.89,22.55,152.24,8.94,7.46,202.28,30.02,3.01,15.88,0.00,16.11,360.68,69.63,799.55,48.33,95.93,22.55,48.90,19.28,17.18,78.66,6.83,-7.25,-70.04,5.71,113.36,38.12,4.67,57.25,1.92,-17.24,75.13,245.63,0.00,494.37,9.51,2.54,330.40,13285.00,13386.00,,3.82,2.08,24.21,75.13
Advanced Enzyme,540025,ADVENZYMES,INE837H01020,Pharmaceuticals & Biotechnology,Biotechnology,297.20,3327.93,265.10,571.15,322.20,29.20,32.01,43.25,37.09,-7.11,39.93,42.87,-14.72,49.01,43.18,44.74,0.00,21.12,204.19,10.66,749.64,12.17,2.09,38.59,157.60,13.96,10.16,15.13,20.33,1.89,156.78,142.50,322.45,60.75,4.21,37.89,107.69,6.36,115.93,1609.57,583.89,459.75,12.35,2.04,189.79,63599.00,66193.00,67589.00,26.70,4.77,25.28,115.93
Advent Hotels,544446,ADVENTHTL,INE28GN01010,Leisure Services,Hotels & Resorts,138.48,747.00,145.82,345.05,183.72,59.87,799.02,47.69,6.17,61.52,3.82,8.97,83.65,6.24,30.44,-1.21,28.92,15.42,79.68,3.51,387.55,3.52,0.09,6.74,48.45,6.78,5.47,76.87,8.37,,162.12,2310.32,184.17,22.55,1.06,46.29,5.05,49.83,26.79,850.45,0.00,64.83,10.25,0.83,80.52,73140.00,75435.00,,2.36,0.41,49.52,26.79
Advit Jewels,544803,RAMBHAJO,INE1SJO01012,Consumer Durables,"Gems, Jewellery And Watches",255.69,1171.32,49.23,257.20,183.01,0.59,72.93,69.88,8.19,37.88,5.94,8.73,-6.29,,9.74,,0.00,31.98,,,167.02,33.69,37.06,8.19,34.38,32.14,45.62,35.51,23.19,,13.33,-36.98,182.28,,,79.78,2.63,-12.14,0.26,60.58,0.00,151.41,25.27,,35.32,43293.00,,,3.92,9.24,16.98,0.26
Aegis Logistics,500003,AEGISLOG,INE208C01025,Gas,Trading - Gas,1331.70,46742.67,1750.29,1498.00,945.71,11.10,4149.93,58.10,484.44,268.90,131.32,410.37,19.85,532.66,232.63,244.02,0.00,37.36,3123.90,36.18,8970.66,30.35,37.07,544.84,1251.27,13.33,16.27,88.67,23.12,4.82,2027.69,558.19,941.83,664.29,13.49,52.22,3190.88,2.49,4194.54,6019.92,1744.91,5093.12,20.34,7.72,2356.86,77194.00,78190.00,84323.00,19.54,3.60,18.77,4194.54
Aegis Vopak Term,544407,AEGISVOPAK,INE0INX01018,Oil,Oil Storage & Transportation,264.15,29267.60,723.98,311.50,240.84,15.20,3730.93,86.94,66.08,-6.96,71.02,68.64,-6.02,78.53,89.04,53.93,0.00,108.07,232.57,23.95,904.26,26.06,12.39,69.42,270.81,7.56,11.02,42.89,29.70,6.55,701.96,576.33,240.61,173.90,0.67,43.09,725.27,0.58,306.88,3182.58,0.00,735.25,47.45,6.82,233.77,50411.00,48956.00,57139.00,5.35,5.30,2.41,306.88
Aequs,544634,AEQUS,INE947N01017,Aerospace & Defense,Aerospace & Defense,251.66,16877.97,168.91,274.60,191.04,8.35,700.93,59.09,-53.23,-1457.91,3.92,-57.45,0.91,,-42.68,-20.59,0.00,,,,1370.41,33.08,54.77,-53.23,-164.05,1.69,-9.96,-73.70,-13.46,,-98.75,26.14,190.43,,,55.78,79.79,-15.43,356.65,815.82,105.57,1345.24,115.34,11.35,395.55,53564.00,40774.00,,5.17,8.85,24.62,356.65
Aeroflex,543972,AEROFLEX,INE024001021,Industrial Products,Iron & Steel Products,536.35,7097.56,101.70,542.00,336.84,1.04,8.90,65.47,18.79,162.06,7.17,17.64,6.52,28.71,16.49,14.23,0.00,105.70,164.22,48.12,502.98,35.64,72.39,18.79,67.15,18.92,14.07,42.06,12.92,16.15,65.84,26.58,334.83,38.27,2.17,70.89,26.75,-6.42,69.65,420.81,0.01,322.71,58.95,15.87,145.38,109759.00,97254.00,117540.00,3.61,1.48,29.45,69.65
