Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,EBIDT last year,High price all time,DMA 200,Down from 52w high,Debt,Promoter holding,Profit after tax latest quarter,YOY Quarterly profit growth,Profit after tax preceding year quarter,Profit after tax preceding quarter,QoQ Profits,Expected quarterly net profit,Net profit 2quarters back,Net profit 3quarters back,Pledged percentage,Price to Earning,Expected quarterly sales,Expected quarterly sales growth,Sales,Sales growth,YOY Quarterly sales growth,Net Profit latest quarter,Profit after tax,Return on capital employed,Return on equity,Profit growth,NPM latest quarter,Mkt Cap To Debt Cap,Cash from operations last year,Cash from operations preceding year,DMA 200 previous day,Expected quarterly operating profit,Expected quarterly EPS,RSI,Cash end of preceding year,CROIC,Cash end of last year,Reserves,Investments,Current assets,EVEBITDA,Price to book value,Sales latest quarter,Number of Shareholders,Number of Shareholders preceding quarter,Number of Shareholders 1year back,FII holding,DII holding,Public holding,Cash Equivalents
Remus Pharma.,,REMUS,INE0O5T01011,Pharmaceuticals & Biotechnology,Pharmaceuticals,890.50,1049.37,63.39,1417.38,767.41,9.82,27.07,70.95,19.49,21.74,16.01,17.50,13.85,,,,0.00,28.37,,,853.63,37.60,30.39,24.58,36.99,16.83,12.19,27.78,5.42,,18.16,6.99,766.18,,,58.49,8.14,0.99,12.88,339.21,274.56,294.64,16.78,2.99,453.43,2009.00,2032.00,1878.00,5.28,0.83,22.93,12.88
Renaiss. Global,532923,RGL,INE722H01024,Consumer Durables,"Gems, Jewellery And Watches",152.58,1638.23,204.03,218.18,116.32,4.04,641.37,61.95,25.39,65.82,15.31,32.31,-15.16,30.54,33.21,20.23,0.00,15.02,788.34,44.29,3063.16,41.39,47.17,25.64,109.10,8.00,6.88,43.83,3.29,1.99,53.73,-3.40,115.96,51.07,2.82,79.23,145.82,-0.40,107.48,1487.24,113.04,2024.40,10.20,1.09,780.45,23555.00,25824.00,20773.00,4.15,0.14,33.76,107.48
Repco Home Fin,535322,REPCOHOME,INE612J01015,Finance,Housing Finance Company,362.30,2266.60,1602.49,924.00,391.54,20.53,12206.01,37.13,121.62,5.63,115.14,135.18,-10.03,149.57,115.44,109.66,0.00,4.70,465.12,5.40,1819.44,4.91,6.23,121.62,481.90,10.17,12.73,3.84,26.00,-0.49,-896.20,-613.70,391.84,410.67,23.91,42.37,136.29,-4.90,292.25,3978.17,272.46,305.81,8.79,0.56,467.70,49320.00,51135.00,56298.00,12.36,26.08,24.42,292.25
Responsive Ind,505509,RESPONIND,INE688D01026,Consumer Durables,"Furniture, Home Furnishing",151.71,4044.72,251.84,364.95,180.47,37.37,195.00,59.14,2.74,-94.51,49.87,22.82,-87.99,24.46,22.48,53.26,5.65,39.73,283.26,-9.72,1248.28,-13.12,-43.06,2.74,101.80,10.77,10.26,-49.19,1.42,4.95,39.62,75.41,180.76,47.84,0.92,27.49,7.61,1.67,10.01,1532.26,75.75,1021.09,20.89,2.59,192.87,15773.00,16316.00,17859.00,7.48,3.22,30.15,10.01
Restaurant Brand,543248,RBA,INE07T201019,Leisure Services,Restaurants,102.36,7288.83,376.74,219.15,73.70,7.91,1967.00,9.22,-28.35,32.40,-41.94,-43.01,30.40,-65.56,-47.95,-63.33,0.00,,804.70,14.40,2947.53,13.29,17.90,-33.01,-171.46,-0.47,-22.72,17.88,-4.01,2.44,302.66,350.44,73.42,93.31,-0.79,66.15,536.46,0.84,58.91,138.23,137.86,242.33,22.87,8.27,822.61,244301.00,247516.00,227707.00,9.25,39.62,41.92,58.91
Rhetan TMT Ltd,543590,RHETAN,INE0KKN01029,Industrial Products,Iron & Steel Products,21.94,1748.34,15.15,34.87,25.72,37.08,41.73,62.11,3.16,315.79,0.76,2.22,42.34,0.10,4.45,2.87,0.00,137.66,5.09,6.92,23.46,2.62,-19.44,3.16,12.70,10.93,10.17,159.18,77.83,-18.17,1.34,4.97,25.76,0.57,0.00,35.83,0.30,1.36,0.30,28.93,7.32,123.72,101.35,16.10,4.06,76501.00,78105.00,94091.00,0.34,0.00,37.53,0.30
RHI Magnesita,534076,RHIM,INE743M01012,Industrial Products,Electrodes & Refractories,370.60,7652.94,470.49,893.15,412.88,27.09,448.44,56.07,64.61,83.19,35.27,22.73,112.47,66.50,61.56,38.35,0.00,40.87,1101.85,6.42,4073.60,8.45,5.59,64.61,187.25,6.52,2.91,13.55,6.37,2.32,409.10,373.08,413.30,130.71,3.22,38.12,99.20,5.72,159.75,3539.80,230.99,2586.66,15.45,2.15,1013.97,63783.00,64358.00,69845.00,3.98,14.34,25.60,159.75
Rico Auto Inds,520008,RICOAUTO,INE209B01025,Auto Components,Auto Components & Equipments,130.76,1769.18,235.26,157.99,121.29,17.24,727.62,50.33,-3.52,-121.00,16.76,5.99,-149.20,13.97,11.11,17.72,0.00,49.40,799.37,27.42,2689.35,21.35,38.94,-3.38,35.81,9.15,7.69,9.01,-0.44,0.62,325.65,193.10,121.19,59.61,1.03,45.17,19.90,4.02,15.63,765.86,5.95,706.79,11.54,2.27,755.08,100407.00,107428.00,110463.00,3.58,0.24,45.84,15.63
Riddhi Siddhi Gl,524480,,INE249D01019,Commercial Services & Supplies,Trading & Distributors,768.85,548.17,56.31,953.00,643.80,10.80,282.70,75.00,3.88,-58.76,9.41,-4.92,109.19,-10.41,-1.28,13.76,0.00,38.73,20.03,-37.61,171.10,-37.98,-41.87,3.01,14.15,2.74,1.30,-64.15,4.26,1.65,-9.24,-28.30,642.54,-2.43,-14.60,54.29,0.23,-1.14,108.84,1502.09,605.78,592.73,14.52,0.36,89.87,3996.00,4171.00,4266.00,2.67,0.01,22.31,108.84
RIR Power Electr,517035,RIR,INE302D01024,Electrical Equipment,Other Electrical Equipment,164.46,1308.65,12.76,487.86,185.46,57.62,13.87,58.61,1.39,-42.80,2.43,0.44,215.91,1.80,4.23,1.87,0.00,183.54,21.99,4.67,90.87,5.41,-9.49,1.39,7.13,7.93,5.61,-6.55,5.80,-26.08,-21.93,1.29,185.67,2.43,0.23,50.10,4.80,-23.19,19.85,123.57,0.00,99.61,102.09,9.38,23.95,53212.00,50806.00,28072.00,8.20,0.01,33.18,19.85
